,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Lat,Hotel Lng,Hotel Name
115,mar del plata,19.1059,37.3321,89.78,53,3,4.2,SD,1619446174,19.1092728,37.31575309999999,Abha hotel
116,cape town,48.0448,40.045,46.4,87,40,6.0,RU,1619446174,,,
117,east london,22.9333,57.5333,94.1,11,68,2.41,OM,1619446175,22.9062255,57.53315730000001,Al Diyar Hotel
118,berlevag,60.1432,-45.2371,33.91,99,100,3.33,GL,1619446156,60.1434625,-45.2366004,Hotel Kap Farvel
119,balakhta,64.2273,27.7285,35.6,69,90,3.6,FI,1619446175,64.224918,27.7312372,Original Sokos Hotel Valjus
120,bethel,19.7297,-155.09,69.8,83,75,0.92,US,1619446176,19.7284039,-155.066467,Hilo Hawaiian Hotel
121,turukhansk,-20.4081,57.7,78.8,78,75,7.2,MU,1619445985,-20.4407751,57.6714245,Holiday Inn Mauritius Mon Tresor
122,eureka,32.9854,70.6027,90.36,15,12,1.95,PK,1619446176,32.9954002,70.6217723,کرم اِن ہوٹل Kurram Inn Hotel
123,ipanema,-11.9472,-75.2829,55.17,63,8,0.92,PE,1619446176,-11.9176634,-75.31292669999999,Hotel Museo Casona Ugarte Leon
124,los llanos de aridane,-29.5128,-51.9853,64.0,91,98,0.78,BR,1619446177,-29.5080947,-51.96767800000001,Estrela Palace Hotel
125,sawakin,34.6391,-120.4579,50.0,93,7,2.08,US,1619446178,34.6574784,-120.4584883,Hilton Garden Inn Lompoc
126,almaznyy,-0.6136,-47.3561,84.24,68,92,3.7,BR,1619446179,-0.5944579999999999,-47.3132057,Hotel Concha do Mar
127,nizwa,64.3833,-173.3,31.42,93,80,0.49,RU,1619446180,,,
128,nanortalik,60.5544,-151.2583,32.0,80,1,1.54,US,1619446181,60.559102,-151.2346845,Aspen Extended Stay Suites
129,alotau,22.6667,106.25,68.85,97,100,0.32,VN,1619446181,22.6677445,106.2604855,Max Boutique Hotel
130,kajaani,42.1859,127.479,48.06,61,100,2.29,CN,1619446182,,,
131,hilo,14.2,24.6667,93.0,5,82,6.15,SD,1619446183,,,
132,mahebourg,38.7333,-27.0667,64.0,67,40,3.74,PT,1619445998,38.7211726,-27.0626286,Atlântida Mar Hotel
133,bannu,-34.5322,20.0403,69.8,60,0,4.63,ZA,1619446185,-34.5340801,20.0395701,Victoria Hotel - Bredasdorp
134,san jeronimo,67.6333,134.6333,29.23,98,100,1.89,RU,1619446185,,,
135,cruzeiro do sul,58.4825,24.8152,41.0,100,100,0.89,EE,1619446186,58.4889186,24.9054758,Villa River Rose
136,lompoc,16.5833,82.0167,91.4,55,20,3.6,IN,1619446186,16.5756735,82.001699,Hotel Grand Park
137,salinopolis,48.1667,-1.6667,63.0,39,0,6.17,FR,1619446187,48.12287689999999,-1.668799,"LeCoq-Gadby Hôtel & Spa, The Originals Relais"
138,provideniya,45.5334,-77.0994,37.0,34,1,6.17,CA,1619446187,45.5500364,-77.1111391,Pine Tree Motel
139,kenai,35.7333,140.8333,50.0,57,20,3.6,JP,1619445928,35.731537,140.825568,Hotel Sunrise Choshi
140,cao bang,-24.4167,150.5,60.49,73,0,2.77,AU,1619446188,-24.4015243,150.5117299,Biloela Hotel
141,songjianghe,51.7522,-1.256,55.0,43,0,4.63,GB,1619446188,51.7549614,-1.2530806,Bath Place Hotel
